+ / (dir, size=44125990)
    - bqpslnv (file, size=113975)
    - btttmt.nmb (file, size=50243)
    + gbjh (dir, size=9976905)
        - dhmprc.qpl (file, size=64971)
        + jtgbg (dir, size=1361617)
            - fbfmm (file, size=243089)
            + hzjcc (dir, size=262498)
                - zmllsrzc (file, size=262498)
            + jgpnm (dir, size=572718)
                + php (dir, size=289068)
                    - lqdsjjm (file, size=289068)
                + rlp (dir, size=283650)
                    + dhlspmh (dir, size=249350)
                        - gtbp.ttr (file, size=249350)
                    + mlsqrz (dir, size=31876)
                        - scwj.cjv (file, size=31876)
                    + slwhsqw (dir, size=2424)
                        - vbpwn.qjn (file, size=2424)
            - ljgwgqg (file, size=7952)
            - lzwrpqvq.tfq (file, size=51001)
            - qbn.gbr (file, size=139239)
            + smb (dir, size=29124)
                - jgpnm.qrq (file, size=29124)
            + vvhmmn (dir, size=40455)
                - fbfmm (file, size=40455)
            - zhvgcc (file, size=15541)
        + pzdn (dir, size=8292589)
            + bpdbclp (dir, size=65147)
                - gdrj.qfs (file, size=65147)
            + gvvgncqh (dir, size=2584721)
                + fdcdh (dir, size=285507)
                    - vrbhb.fqr (file, size=285507)
                + jnfhsqrl (dir, size=1563456)
                    + ddzqtsvf (dir, size=741961)
                        + fdcdh (dir, size=741961)
                            + fhmpzq (dir, size=280917)
                                + ghzrhzs (dir, size=82916)
                                    - rjclmm.wcp (file, size=82916)
                                - thddfc.mlv (file, size=198001)
                            - pqq (file, size=193340)
                            - scwj.cjv (file, size=267704)
                    - fdcdh.dhj (file, size=189748)
                    - rpfw.wtt (file, size=217915)
                    + wwrrtc (dir, size=291755)
                        - fdcdh (file, size=291755)
                    - zctzcb (file, size=122077)
                - lblt (file, size=52531)
                + lprd (dir, size=247564)
                    - czqmpt (file, size=247564)
                + qzmcfrhq (dir, size=102306)
                    - bqpslnv (file, size=102306)
                + rmbmpjc (dir, size=333357)
                    - ddvhnf (file, size=282221)
                    - qcbsqcp.hsp (file, size=50544)
                    + tshl (dir, size=592)
                        - fdcdh (file, size=592)
            + jfzw (dir, size=470339)
                + fcwsrnjg (dir, size=81276)
                    - mbvcdgvl (file, size=81276)
                + ftnlwhpn (dir, size=78460)
                    - fbfmm (file, size=78460)
                + ghqt (dir, size=212220)
                    - dvtl.nbw (file, size=110015)
                    - rlblp.zcw (file, size=102205)
                - qblnjwmq.mgl (file, size=52762)
                - zmllsrzc.jcv (file, size=45621)
            + nlwnv (dir, size=5172382)
                + cvbq (dir, size=1939674)
                    - fvrh.fcp (file, size=224362)
                    + ndjlpwpw (dir, size=17383)
                        - ndl.cml (file, size=17383)
                    - pphz.tmm (file, size=93098)
                    - qdsgm.hjr (file, size=30583)
                    + qmqlf (dir, size=1574248)
                        - fdcdh.bwr (file, size=296208)
                        - lblt (file, size=246624)
                        - slwhsqw.jhl (file, size=194615)
                        + tsrgs (dir, size=805125)
                            + fdcdh (dir, size=393643)
                                - lblt (file, size=128762)
                                - zmllsrzc (file, size=264881)
                            - jnhfrb.mzm (file, size=164026)
                            - lblt (file, size=109383)
                            - zctzcb (file, size=138073)
                        - zmllsrzc.scg (file, size=31676)
                + jgpnm (dir, size=1366599)
                    + bgv (dir, size=1317111)
                        + fpvvw (dir, size=617312)
                            - gts.znn (file, size=215634)
                            - lblt (file, size=12520)
